complexity,loss,equation,score,sympy_format,lambda_format
1,0.0515773,3.2185597,0.0,3.21855970000000,PySRFunction(X=>3.21855970000000)
3,0.03176014,g080 + 3.1767924,0.24243480439147022,g080 + 3.1767924,PySRFunction(X=>g080 + 3.1767924)
4,0.024087662,exp(g100) + 2.1465757,0.27651228523178334,exp(g100) + 2.1465757,PySRFunction(X=>exp(g100) + 2.1465757)
8,0.014080647,((sqrt(g200) + -0.6769754) - 0.041116025) + 3.5208325,0.13422461445479875,sqrt(g200) + 2.802741075,PySRFunction(X=>sqrt(g200) + 2.802741075)
