Complexity,Loss,Equation
1,0.0515773,"3.2185597"
3,0.03176014,"g080 + 3.1767924"
4,0.024087662,"exp(g100) + 2.1465757"
8,0.014080647,"((sqrt(g200) + -0.6769754) - 0.041116025) + 3.5208325"
