complexity,loss,equation,score,sympy_format,lambda_format
1,0.0515773,3.2185788,0.0,3.21857880000000,PySRFunction(X=>3.21857880000000)
3,0.026124954,g100 + 3.155419,0.34009535184736933,g100 + 3.155419,PySRFunction(X=>g100 + 3.155419)
5,0.016806874,(g140 / 0.7795111) + 3.0704093,0.2205514900639242,g140/0.7795111 + 3.0704093,PySRFunction(X=>g140/0.7795111 + 3.0704093)
11,0.013406921,(((g200 - (r_bar * 0.084013626)) - -1.0703546) * 1.0047506) - -1.969289,0.03766948387203468,(g200 - 0.084013626*r_bar - 1*(-1.0703546))*1.0047506 - 1*(-1.969289),PySRFunction(X=>(g200 - 0.084013626*r_bar - 1*(-1.0703546))*1.0047506 - 1*(-1.969289))
